ref_area,indicator,source,classif1,classif2,time,obs_value,note_indicator,note_source
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_Y25-64,VOL_TYPE_TOTAL,2010,3.3,I33:5717,S16:5840
COL,FOW_TVOL_AGE_VOL_RT,BA:358,AGE_AGGREGATE_YGE65,VOL_TYPE_TOTAL,2010,3.2,I33:5717,S16:5840
CRI,FOW_TVOL_AGE_VOL_RT,BA:12883,AGE_AGGREGATE_TOTAL,VOL_TYPE_TOTAL,2019,2.6,I33:5717,S16:5840
CRI,FOW_TVOL_AGE_VOL_RT,BA:12883,AGE_AGGREGATE_Y15-24,VOL_TYPE_TOTAL,2019,1.9,I33:5717,S16:5840
CRI,FOW_TVOL_AGE_VOL_RT,BA:12883,AGE_AGGREGATE_Y25-64,VOL_TYPE_TOTAL,2019,2.6,I33:5717,S16:5840
CRI,FOW_TVOL_AGE_VOL_RT,BA:12883,AGE_AGGREGATE_YGE65,VOL_TYPE_TOTAL,2019,3.3,I33:5717,S16:5840
CRI,FOW_TVOL_AGE_VOL_RT,BA:12883,AGE_AGGREGATE_TOTAL,VOL_TYPE_TOTAL,2018,2.2,I33:5717,S16:5840
CRI,FOW_TVOL_AGE_VOL_RT,BA:12883,AGE_AGGREGATE_Y15-24,VOL_TYPE_TOTAL,2018,1.1,I33:5717,S16:5840
CRI,FOW_TVOL_AGE_VOL_RT,BA:12883,AGE_AGGREGATE_Y25-64,VOL_TYPE_TOTAL,2018,2.4,I33:5717,S16:5840
CRI,FOW_TVOL_AGE_VOL_RT,BA:12883,AGE_AGGREGATE_YGE65,VOL_TYPE_TOTAL,2018,3.2,I33:5717,S16:5840
CRI,FOW_TVOL_AGE_VOL_RT,BA:12883,AGE_AGGREGATE_TOTAL,VOL_TYPE_TOTAL,2017,2.1,I33:5717,S16:5840
CRI,FOW_TVOL_AGE_VOL_RT,BA:12883,AGE_AGGREGATE_Y15-24,VOL_TYPE_TOTAL,2017,1.1,I33:5717,S16:5840
CRI,FOW_TVOL_AGE_VOL_RT,BA:12883,AGE_AGGREGATE_Y25-64,VOL_TYPE_TOTAL,2017,2.4,I33:5717,S16:5840
CRI,FOW_TVOL_AGE_VOL_RT,BA:12883,AGE_AGGREGATE_YGE65,VOL_TYPE_TOTAL,2017,2.2,I33:5717,S16:5840
CYP,FOW_TVOL_AGE_VOL_RT,BB:459,AGE_AGGREGATE_TOTAL,VOL_TYPE_ORG,2015,7.2,,S16:5832_T2:85
CYP,FOW_TVOL_AGE_VOL_RT,BB:459,AGE_AGGREGATE_TOTAL,VOL_TYPE_DIRECT,2015,2.6,,S16:5832_T2:85
CYP,FOW_TVOL_AGE_VOL_RT,BB:459,AGE_AGGREGATE_Y15-24,VOL_TYPE_ORG,2015,5.6,,S16:5832_T2:85
CYP,FOW_TVOL_AGE_VOL_RT,BB:459,AGE_AGGREGATE_Y15-24,VOL_TYPE_DIRECT,2015,1.9,,S16:5832_T2:85
CYP,FOW_TVOL_AGE_VOL_RT,BB:459,AGE_AGGREGATE_Y25-64,VOL_TYPE_ORG,2015,8.1,,S16:5832_T2:85
